Protocol,Length,dates,Source,Destination,source port,Destination port,Count
TLSv1.2,97,2020-03-10,130.240.134.20,89.18.105.60,34223,8883,1440
TLSv1.2,96,2020-03-10,89.18.105.60,130.240.134.20,8883,34223,1440
TLSv1.2,162,2020-03-10,130.240.134.20,89.18.105.60,34223,8883,8
TLSv1.2,164,2020-03-10,130.240.134.20,89.18.105.60,34223,8883,8
TLSv1.2,166,2020-03-10,130.240.134.20,89.18.105.60,34223,8883,9
TLSv1.2,170,2020-03-10,130.240.134.20,89.18.105.60,34223,8883,8
TLSv1.2,172,2020-03-10,130.240.134.20,89.18.105.60,34223,8883,7
TLSv1.2,174,2020-03-10,130.240.134.20,89.18.105.60,34223,8883,5
TLSv1.2,177,2020-03-10,130.240.134.20,89.18.105.60,34223,8883,3
TLSv1.2,183,2020-03-10,130.240.134.20,89.18.105.60,34223,8883,6
TLSv1.2,186,2020-03-10,130.240.134.20,89.18.105.60,34223,8883,8
TLSv1.2,191,2020-03-10,130.240.134.20,89.18.105.60,34223,8883,15221
TLSv1.2,192,2020-03-10,130.240.134.20,89.18.105.60,34223,8883,173
TLSv1.2,204,2020-03-10,130.240.134.20,89.18.105.60,34223,8883,33
TLSv1.2,205,2020-03-10,130.240.134.20,89.18.105.60,34223,8883,9
TLSv1.2,206,2020-03-10,130.240.134.20,89.18.105.60,34223,8883,6
TLSv1.2,212,2020-03-10,130.240.134.20,89.18.105.60,34223,8883,2
TLSv1.2,239,2020-03-10,130.240.134.20,89.18.105.60,34223,8883,2
TLSv1.2,240,2020-03-10,130.240.134.20,89.18.105.60,34223,8883,22
TLSv1.2,282,2020-03-10,130.240.134.20,89.18.105.60,34223,8883,2
TLSv1.2,283,2020-03-10,130.240.134.20,89.18.105.60,34223,8883,1
TLSv1.2,390,2020-03-10,130.240.134.20,89.18.105.60,34223,8883,1
TLSv1.2,974,2020-03-10,130.240.134.20,89.18.105.60,34223,8883,20
TLSv1.2,976,2020-03-10,130.240.134.20,89.18.105.60,34223,8883,20
TLSv1.2,978,2020-03-10,130.240.134.20,89.18.105.60,34223,8883,320
TLSv1.2,97,2020-03-16,130.240.134.20,89.18.105.60,34223,8883,1440
TLSv1.2,96,2020-03-16,89.18.105.60,130.240.134.20,8883,34223,1441
TLSv1.2,162,2020-03-16,130.240.134.20,89.18.105.60,34223,8883,92
TLSv1.2,164,2020-03-16,130.240.134.20,89.18.105.60,34223,8883,92
TLSv1.2,166,2020-03-16,130.240.134.20,89.18.105.60,34223,8883,9
TLSv1.2,170,2020-03-16,130.240.134.20,89.18.105.60,34223,8883,92
TLSv1.2,172,2020-03-16,130.240.134.20,89.18.105.60,34223,8883,74
TLSv1.2,174,2020-03-16,130.240.134.20,89.18.105.60,34223,8883,61
TLSv1.2,177,2020-03-16,130.240.134.20,89.18.105.60,34223,8883,20
TLSv1.2,183,2020-03-16,130.240.134.20,89.18.105.60,34223,8883,6
TLSv1.2,186,2020-03-16,130.240.134.20,89.18.105.60,34223,8883,92
TLSv1.2,191,2020-03-16,130.240.134.20,89.18.105.60,34223,8883,10929
TLSv1.2,192,2020-03-16,130.240.134.20,89.18.105.60,34223,8883,283
TLSv1.2,193,2020-03-16,130.240.134.20,89.18.105.60,34223,8883,108
TLSv1.2,204,2020-03-16,130.240.134.20,89.18.105.60,34223,8883,27
TLSv1.2,205,2020-03-16,130.240.134.20,89.18.105.60,34223,8883,6
TLSv1.2,206,2020-03-16,130.240.134.20,89.18.105.60,34223,8883,14
TLSv1.2,240,2020-03-16,130.240.134.20,89.18.105.60,34223,8883,27
TLSv1.2,280,2020-03-16,130.240.134.20,89.18.105.60,34223,8883,3
TLSv1.2,282,2020-03-16,130.240.134.20,89.18.105.60,34223,8883,18
TLSv1.2,283,2020-03-16,130.240.134.20,89.18.105.60,34223,8883,14
TLSv1.2,285,2020-03-16,130.240.134.20,89.18.105.60,34223,8883,10
TLSv1.2,390,2020-03-16,130.240.134.20,89.18.105.60,34223,8883,8
TLSv1.2,391,2020-03-16,130.240.134.20,89.18.105.60,34223,8883,1
TLSv1.2,501,2020-03-16,130.240.134.20,89.18.105.60,34223,8883,1
TLSv1.2,974,2020-03-16,130.240.134.20,89.18.105.60,34223,8883,20
TLSv1.2,976,2020-03-16,130.240.134.20,89.18.105.60,34223,8883,20
TLSv1.2,978,2020-03-16,130.240.134.20,89.18.105.60,34223,8883,320
TLSv1.2,97,2020-03-11,130.240.134.20,89.18.105.60,34223,8883,1439
TLSv1.2,96,2020-03-11,89.18.105.60,130.240.134.20,8883,34223,1439
TLSv1.2,99,2020-03-11,130.240.134.20,89.18.105.60,34223,8883,2
TLSv1.2,136,2020-03-11,89.18.105.60,130.240.134.20,8883,34223,1
TLSv1.2,162,2020-03-11,130.240.134.20,89.18.105.60,34223,8883,154
TLSv1.2,164,2020-03-11,130.240.134.20,89.18.105.60,34223,8883,156
TLSv1.2,166,2020-03-11,130.240.134.20,89.18.105.60,34223,8883,9
TLSv1.2,170,2020-03-11,130.240.134.20,89.18.105.60,34223,8883,147
TLSv1.2,172,2020-03-11,130.240.134.20,89.18.105.60,34223,8883,139
TLSv1.2,174,2020-03-11,130.240.134.20,89.18.105.60,34223,8883,43
TLSv1.2,177,2020-03-11,130.240.134.20,89.18.105.60,34223,8883,13
TLSv1.2,183,2020-03-11,130.240.134.20,89.18.105.60,34223,8883,9
TLSv1.2,185,2020-03-11,130.240.134.20,89.18.105.60,34223,8883,4
TLSv1.2,186,2020-03-11,130.240.134.20,89.18.105.60,34223,8883,148
TLSv1.2,191,2020-03-11,130.240.134.20,89.18.105.60,34223,8883,10576
